"","experiment","accession","counts"
"535","EGAS00001004481","367C_72h",0
"536","ERP114453","367C_72h",22
"537","Fib_Atlas","367C_72h",0
"538","GSE121080","367C_72h",0
"539","GSE122960","367C_72h",0
"540","GSE126030","367C_72h",0
"541","GSE132771","367C_72h",0
"542","GSE132914","367C_72h",0
"543","GSE134355","367C_72h",0
"544","GSE135893","367C_72h",0
"545","GSE136831","367C_72h",0
"546","GSE137026","367C_72h",0
"547","GSE139534","367C_72h",0
"548","GSE139555","367C_72h",0
"549","GSE139819","367C_72h",0
"550","GSE150247","367C_72h",0
"551","GSE157376","367C_72h",0
"552","GSE158942","367C_72h",0
"553","GSE160664","367C_72h",0
"554","GSE161382","367C_72h",0
"555","GSE167295","367C_72h",0
"556","GSE168191","367C_72h",0
"557","GSE169471","367C_72h",0
"558","GSE171524","367C_72h",0
"559","GSE173896","367C_72h",0
"560","GSE181388","367C_72h",0
"561","GSE196303","367C_72h",0
"562","GSE196341","367C_72h",0
"563","GSE227136","367C_72h",0
"564","HCL","367C_72h",0
"565","HTAN_MSK","367C_72h",0
"566","munich_cohort_human","367C_72h",0
"567","P115_Syn21041850_Lung_scRNASEQ","367C_72h",0
"568","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","367C_72h",0
"569","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","367C_72h",0
"570","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","367C_72h",0
"571","P90_COVID19CELLATLAS_Lung_scRNASEQ","367C_72h",0
"572","P91_COVID19CELLATLAS_Lung_scRNASEQ","367C_72h",0
"573","Travaglini_Krasnow_2020","367C_72h",0
"574","Vieira_Teichmann_2019","367C_72h",0
"575","E-MTAB-11278","368C_0h",0
"576","EGAS00001004481","368C_0h",0
"577","ERP114453","368C_0h",5
"578","Fib_Atlas","368C_0h",0
"579","GSE121080","368C_0h",0
"580","GSE122960","368C_0h",0
"581","GSE126030","368C_0h",0
"582","GSE132771","368C_0h",0
"583","GSE132914","368C_0h",0
"584","GSE134355","368C_0h",0
"585","GSE135893","368C_0h",0
"586","GSE136831","368C_0h",0
"587","GSE137026","368C_0h",0
"588","GSE139534","368C_0h",0
"589","GSE139555","368C_0h",0
"590","GSE139819","368C_0h",0
"591","GSE150247","368C_0h",0
"592","GSE157376","368C_0h",0
"593","GSE158942","368C_0h",0
"594","GSE160664","368C_0h",0
"595","GSE161382","368C_0h",0
"596","GSE167295","368C_0h",0
"597","GSE168191","368C_0h",0
"598","GSE169471","368C_0h",0
"599","GSE171524","368C_0h",0
"600","GSE173896","368C_0h",0
"601","GSE181388","368C_0h",0
"602","GSE196303","368C_0h",0
"603","GSE196341","368C_0h",0
"604","GSE227136","368C_0h",0
"605","HCL","368C_0h",0
"606","HTAN_MSK","368C_0h",0
"607","munich_cohort_human","368C_0h",0
"608","P115_Syn21041850_Lung_scRNASEQ","368C_0h",0
"609","P86_COVID19CELLATLAS_Lung_Parenchyma_scRNASEQ","368C_0h",0
"610","P87_COVID19CELLATLAS_Lung_Bronchi_scRNASEQ","368C_0h",0
"611","P88_COVID19CELLATLAS_Lung_Nasal_scRNASEQ","368C_0h",0
"612","P90_COVID19CELLATLAS_Lung_scRNASEQ","368C_0h",0
"613","P91_COVID19CELLATLAS_Lung_scRNASEQ","368C_0h",0
"614","Travaglini_Krasnow_2020","368C_0h",0
"615","Vieira_Teichmann_2019","368C_0h",0
"616","E-MTAB-11278","368C_12h",0
"617","EGAS00001004481","368C_12h",0
"618","ERP114453","368C_12h",29
"619","Fib_Atlas","368C_12h",0
"620","GSE121080","368C_12h",0
