"","celltype","accession","counts"
"2212","Stromal","GSM4321405",0
"2213","Airway Epithelial","GSM4544005",0
"2214","AT1","GSM4544005",0
"2215","AT2","GSM4544005",10
"2216","Basal","GSM4544005",1
"2217","Ciliated","GSM4544005",2
"2218","DC","GSM4544005",0
"2219","Endothelial","GSM4544005",0
"2220","Fibroblast","GSM4544005",14
"2221","Macrophages","GSM4544005",0
"2222","Monocytes","GSM4544005",0
"2223","NK+T","GSM4544005",0
"2224","Plasma+B","GSM4544005",3
"2225","Secretory","GSM4544005",6
"2226","Stromal","GSM4544005",4
"2227","Airway Epithelial","GSM4544006",0
"2228","AT1","GSM4544006",0
"2229","AT2","GSM4544006",16
"2230","Basal","GSM4544006",10
"2231","Ciliated","GSM4544006",0
"2232","DC","GSM4544006",0
"2233","Endothelial","GSM4544006",0
"2234","Fibroblast","GSM4544006",12
"2235","Macrophages","GSM4544006",0
"2236","Monocytes","GSM4544006",0
"2237","NK+T","GSM4544006",0
"2238","Plasma+B","GSM4544006",0
"2239","Secretory","GSM4544006",4
"2240","Stromal","GSM4544006",1
"2241","Airway Epithelial","GSM4544007",0
"2242","AT1","GSM4544007",0
"2243","AT2","GSM4544007",16
"2244","Basal","GSM4544007",4
"2245","Ciliated","GSM4544007",5
"2246","DC","GSM4544007",0
"2247","Endothelial","GSM4544007",0
"2248","Fibroblast","GSM4544007",22
"2249","Macrophages","GSM4544007",0
"2250","Monocytes","GSM4544007",0
"2251","NK+T","GSM4544007",0
"2252","Plasma+B","GSM4544007",2
"2253","Secretory","GSM4544007",8
"2254","Stromal","GSM4544007",0
"2255","Airway Epithelial","GSM4763859",0
"2256","AT1","GSM4763859",0
"2257","AT2","GSM4763859",1
"2258","Basal","GSM4763859",3
"2259","Ciliated","GSM4763859",0
"2260","DC","GSM4763859",0
"2261","Endothelial","GSM4763859",2
"2262","Fibroblast","GSM4763859",6
"2263","Macrophages","GSM4763859",0
"2264","Monocytes","GSM4763859",0
"2265","NK+T","GSM4763859",0
"2266","Plasma+B","GSM4763859",0
"2267","Secretory","GSM4763859",2
"2268","Stromal","GSM4763859",0
"2269","Airway Epithelial","GSM4763860",0
"2270","AT1","GSM4763860",0
"2271","AT2","GSM4763860",0
"2272","Basal","GSM4763860",1
"2273","Ciliated","GSM4763860",0
"2274","DC","GSM4763860",0
"2275","Endothelial","GSM4763860",3
"2276","Fibroblast","GSM4763860",0
"2277","Macrophages","GSM4763860",0
"2278","Monocytes","GSM4763860",0
"2279","NK+T","GSM4763860",0
"2280","Plasma+B","GSM4763860",0
"2281","Secretory","GSM4763860",3
"2282","Stromal","GSM4763860",2
"2283","Airway Epithelial","GSM4763861",0
"2284","AT1","GSM4763861",0
"2285","AT2","GSM4763861",0
"2286","Basal","GSM4763861",0
"2287","Ciliated","GSM4763861",0
"2288","DC","GSM4763861",0
"2289","Endothelial","GSM4763861",0
"2290","Fibroblast","GSM4763861",0
"2291","Macrophages","GSM4763861",0
"2292","Monocytes","GSM4763861",0
"2293","NK+T","GSM4763861",0
"2294","Plasma+B","GSM4763861",3
"2295","Secretory","GSM4763861",0
"2296","Stromal","GSM4763861",1
"2297","Airway Epithelial","GSM4763862",0
"2298","AT1","GSM4763862",0
"2299","AT2","GSM4763862",0
"2300","Basal","GSM4763862",0
"2301","Ciliated","GSM4763862",0
"2302","DC","GSM4763862",0
"2303","Endothelial","GSM4763862",1
"2304","Fibroblast","GSM4763862",0
"2305","Macrophages","GSM4763862",0
"2306","Monocytes","GSM4763862",0
"2307","NK+T","GSM4763862",0
"2308","Plasma+B","GSM4763862",0
"2309","Secretory","GSM4763862",0
"2310","Stromal","GSM4763862",0
"2311","Airway Epithelial","GSM4763863",0
"2312","AT1","GSM4763863",0
"2313","AT2","GSM4763863",1
"2314","Basal","GSM4763863",0
"2315","Ciliated","GSM4763863",0
"2316","DC","GSM4763863",0
"2317","Endothelial","GSM4763863",0
"2318","Fibroblast","GSM4763863",0
"2319","Macrophages","GSM4763863",0
"2320","Monocytes","GSM4763863",0
"2321","NK+T","GSM4763863",0
"2322","Plasma+B","GSM4763863",0
"2323","Secretory","GSM4763863",2
"2324","Stromal","GSM4763863",1
"2325","Airway Epithelial","GSM4816089",0
"2326","AT1","GSM4816089",0
"2327","AT2","GSM4816089",0
"2328","Basal","GSM4816089",0
"2329","Ciliated","GSM4816089",0
"2330","DC","GSM4816089",0
"2331","Endothelial","GSM4816089",0
"2332","Fibroblast","GSM4816089",38
"2333","Macrophages","GSM4816089",0
"2334","Monocytes","GSM4816089",0
"2335","NK+T","GSM4816089",103
"2336","Plasma+B","GSM4816089",0
"2337","Secretory","GSM4816089",0
"2338","Stromal","GSM4816089",0
"2339","Airway Epithelial","GSM4876617",2
"2340","AT1","GSM4876617",0
"2341","AT2","GSM4876617",3
"2342","Basal","GSM4876617",6
"2343","Ciliated","GSM4876617",1
"2344","DC","GSM4876617",0
"2345","Endothelial","GSM4876617",0
"2346","Fibroblast","GSM4876617",0
"2347","Macrophages","GSM4876617",0
"2348","Monocytes","GSM4876617",0
"2349","NK+T","GSM4876617",0
"2350","Plasma+B","GSM4876617",0
"2351","Secretory","GSM4876617",3
"2352","Stromal","GSM4876617",0
"2353","Airway Epithelial","GSM4876620",0
"2354","AT1","GSM4876620",0
"2355","AT2","GSM4876620",9
"2356","Basal","GSM4876620",2
"2357","Ciliated","GSM4876620",1
"2358","DC","GSM4876620",0
"2359","Endothelial","GSM4876620",0
"2360","Fibroblast","GSM4876620",0
"2361","Macrophages","GSM4876620",0
"2362","Monocytes","GSM4876620",0
"2363","NK+T","GSM4876620",0
"2364","Plasma+B","GSM4876620",0
"2365","Secretory","GSM4876620",1
"2366","Stromal","GSM4876620",0
"2367","Airway Epithelial","GSM5100998",0
"2368","AT1","GSM5100998",2
"2369","AT2","GSM5100998",1
"2370","Basal","GSM5100998",0
"2371","Ciliated","GSM5100998",17
"2372","DC","GSM5100998",2
"2373","Endothelial","GSM5100998",5
"2374","Fibroblast","GSM5100998",0
"2375","Macrophages","GSM5100998",16
"2376","Monocytes","GSM5100998",7
"2377","NK+T","GSM5100998",48
"2378","Plasma+B","GSM5100998",45
"2379","Secretory","GSM5100998",9
"2380","Stromal","GSM5100998",0
"2381","Airway Epithelial","GSM5100999",0
"2382","AT1","GSM5100999",0
"2383","AT2","GSM5100999",0
"2384","Basal","GSM5100999",0
"2385","Ciliated","GSM5100999",2
"2386","DC","GSM5100999",4
"2387","Endothelial","GSM5100999",2
"2388","Fibroblast","GSM5100999",0
"2389","Macrophages","GSM5100999",4
"2390","Monocytes","GSM5100999",16
"2391","NK+T","GSM5100999",47
"2392","Plasma+B","GSM5100999",6
"2393","Secretory","GSM5100999",0
"2394","Stromal","GSM5100999",1
"2395","Airway Epithelial","GSM5101000",0
"2396","AT1","GSM5101000",1
"2397","AT2","GSM5101000",0
"2398","Basal","GSM5101000",1
"2399","Ciliated","GSM5101000",6
"2400","DC","GSM5101000",3
"2401","Endothelial","GSM5101000",0
"2402","Fibroblast","GSM5101000",0
"2403","Macrophages","GSM5101000",15
"2404","Monocytes","GSM5101000",9
"2405","NK+T","GSM5101000",38
"2406","Plasma+B","GSM5101000",2
"2407","Secretory","GSM5101000",3
"2408","Stromal","GSM5101000",0
"2409","Airway Epithelial","GSM5133588",0
"2410","AT1","GSM5133588",49
"2411","AT2","GSM5133588",45
"2412","Basal","GSM5133588",10
"2413","Ciliated","GSM5133588",8
"2414","DC","GSM5133588",7
"2415","Endothelial","GSM5133588",64
"2416","Fibroblast","GSM5133588",80
"2417","Macrophages","GSM5133588",19
"2418","Monocytes","GSM5133588",0
"2419","NK+T","GSM5133588",6
"2420","Plasma+B","GSM5133588",9
"2421","Secretory","GSM5133588",11
"2422","Stromal","GSM5133588",31
"2423","Airway Epithelial","GSM5133589",0
"2424","AT1","GSM5133589",55
"2425","AT2","GSM5133589",42
"2426","Basal","GSM5133589",13
"2427","Ciliated","GSM5133589",7
"2428","DC","GSM5133589",5
"2429","Endothelial","GSM5133589",63
"2430","Fibroblast","GSM5133589",57
"2431","Macrophages","GSM5133589",19
"2432","Monocytes","GSM5133589",2
"2433","NK+T","GSM5133589",13
"2434","Plasma+B","GSM5133589",4
"2435","Secretory","GSM5133589",20
"2436","Stromal","GSM5133589",28
"2437","Airway Epithelial","GSM5133590",0
"2438","AT1","GSM5133590",7
"2439","AT2","GSM5133590",26
"2440","Basal","GSM5133590",3
"2441","Ciliated","GSM5133590",1
"2442","DC","GSM5133590",3
"2443","Endothelial","GSM5133590",53
"2444","Fibroblast","GSM5133590",29
"2445","Macrophages","GSM5133590",4
"2446","Monocytes","GSM5133590",0
"2447","NK+T","GSM5133590",9
"2448","Plasma+B","GSM5133590",14
"2449","Secretory","GSM5133590",5
"2450","Stromal","GSM5133590",24
"2451","Airway Epithelial","GSM5133591",0
"2452","AT1","GSM5133591",7
"2453","AT2","GSM5133591",14
"2454","Basal","GSM5133591",2
"2455","Ciliated","GSM5133591",2
"2456","DC","GSM5133591",2
"2457","Endothelial","GSM5133591",62
"2458","Fibroblast","GSM5133591",25
"2459","Macrophages","GSM5133591",7
"2460","Monocytes","GSM5133591",0
"2461","NK+T","GSM5133591",4
"2462","Plasma+B","GSM5133591",12
"2463","Secretory","GSM5133591",1
"2464","Stromal","GSM5133591",15
"2465","Airway Epithelial","GSM5133592",0
"2466","AT1","GSM5133592",12
"2467","AT2","GSM5133592",38
"2468","Basal","GSM5133592",0
"2469","Ciliated","GSM5133592",0
"2470","DC","GSM5133592",0
"2471","Endothelial","GSM5133592",69
"2472","Fibroblast","GSM5133592",15
"2473","Macrophages","GSM5133592",1
"2474","Monocytes","GSM5133592",0
"2475","NK+T","GSM5133592",0
"2476","Plasma+B","GSM5133592",1
"2477","Secretory","GSM5133592",4
"2478","Stromal","GSM5133592",13
"2479","Airway Epithelial","GSM5133593",0
"2480","AT1","GSM5133593",11
"2481","AT2","GSM5133593",19
"2482","Basal","GSM5133593",0
"2483","Ciliated","GSM5133593",0
"2484","DC","GSM5133593",0
"2485","Endothelial","GSM5133593",44
"2486","Fibroblast","GSM5133593",8
"2487","Macrophages","GSM5133593",0
"2488","Monocytes","GSM5133593",0
"2489","NK+T","GSM5133593",0
"2490","Plasma+B","GSM5133593",1
"2491","Secretory","GSM5133593",4
"2492","Stromal","GSM5133593",8
"2493","Airway Epithelial","GSM5133594",3
"2494","AT1","GSM5133594",5
"2495","AT2","GSM5133594",92
"2496","Basal","GSM5133594",8
"2497","Ciliated","GSM5133594",10
"2498","DC","GSM5133594",1
"2499","Endothelial","GSM5133594",3
"2500","Fibroblast","GSM5133594",3
"2501","Macrophages","GSM5133594",87
"2502","Monocytes","GSM5133594",0
"2503","NK+T","GSM5133594",0
"2504","Plasma+B","GSM5133594",1
"2505","Secretory","GSM5133594",8
"2506","Stromal","GSM5133594",0
"2507","Airway Epithelial","GSM5133595",0
"2508","AT1","GSM5133595",0
"2509","AT2","GSM5133595",1
"2510","Basal","GSM5133595",0
"2511","Ciliated","GSM5133595",13
"2512","DC","GSM5133595",0
"2513","Endothelial","GSM5133595",6
"2514","Fibroblast","GSM5133595",0
"2515","Macrophages","GSM5133595",63
"2516","Monocytes","GSM5133595",1
"2517","NK+T","GSM5133595",0
"2518","Plasma+B","GSM5133595",0
"2519","Secretory","GSM5133595",21
"2520","Stromal","GSM5133595",0
"2521","Airway Epithelial","GSM5133596",0
"2522","AT1","GSM5133596",0
"2523","AT2","GSM5133596",0
"2524","Basal","GSM5133596",0
"2525","Ciliated","GSM5133596",8
"2526","DC","GSM5133596",0
"2527","Endothelial","GSM5133596",4
"2528","Fibroblast","GSM5133596",0
"2529","Macrophages","GSM5133596",40
"2530","Monocytes","GSM5133596",0
"2531","NK+T","GSM5133596",0
"2532","Plasma+B","GSM5133596",1
"2533","Secretory","GSM5133596",15
"2534","Stromal","GSM5133596",0
"2535","Airway Epithelial","GSM5133597",0
"2536","AT1","GSM5133597",2
"2537","AT2","GSM5133597",17
"2538","Basal","GSM5133597",1
"2539","Ciliated","GSM5133597",1
"2540","DC","GSM5133597",0
"2541","Endothelial","GSM5133597",10
"2542","Fibroblast","GSM5133597",2
"2543","Macrophages","GSM5133597",25
"2544","Monocytes","GSM5133597",0
"2545","NK+T","GSM5133597",0
"2546","Plasma+B","GSM5133597",1
"2547","Secretory","GSM5133597",8
"2548","Stromal","GSM5133597",0
"2549","Airway Epithelial","GSM5133598",0
"2550","AT1","GSM5133598",5
"2551","AT2","GSM5133598",20
"2552","Basal","GSM5133598",2
"2553","Ciliated","GSM5133598",1
"2554","DC","GSM5133598",0
"2555","Endothelial","GSM5133598",7
"2556","Fibroblast","GSM5133598",1
"2557","Macrophages","GSM5133598",21
"2558","Monocytes","GSM5133598",0
"2559","NK+T","GSM5133598",0
"2560","Plasma+B","GSM5133598",0
"2561","Secretory","GSM5133598",5
"2562","Stromal","GSM5133598",1
"2563","Airway Epithelial","GSM5133599",8
"2564","AT1","GSM5133599",0
"2565","AT2","GSM5133599",13
"2566","Basal","GSM5133599",0
"2567","Ciliated","GSM5133599",4
"2568","DC","GSM5133599",0
"2569","Endothelial","GSM5133599",6
"2570","Fibroblast","GSM5133599",1
"2571","Macrophages","GSM5133599",25
"2572","Monocytes","GSM5133599",0
"2573","NK+T","GSM5133599",0
"2574","Plasma+B","GSM5133599",1
"2575","Secretory","GSM5133599",47
"2576","Stromal","GSM5133599",0
"2577","Airway Epithelial","GSM5133600",8
"2578","AT1","GSM5133600",0
"2579","AT2","GSM5133600",11
"2580","Basal","GSM5133600",0
"2581","Ciliated","GSM5133600",4
"2582","DC","GSM5133600",0
"2583","Endothelial","GSM5133600",3
"2584","Fibroblast","GSM5133600",0
"2585","Macrophages","GSM5133600",25
"2586","Monocytes","GSM5133600",0
"2587","NK+T","GSM5133600",0
"2588","Plasma+B","GSM5133600",1
"2589","Secretory","GSM5133600",41
"2590","Stromal","GSM5133600",0
"2591","Airway Epithelial","GSM5133601",1
"2592","AT1","GSM5133601",1
"2593","AT2","GSM5133601",0
"2594","Basal","GSM5133601",11
"2595","Ciliated","GSM5133601",20
"2596","DC","GSM5133601",0
"2597","Endothelial","GSM5133601",1
"2598","Fibroblast","GSM5133601",4
"2599","Macrophages","GSM5133601",2
"2600","Monocytes","GSM5133601",0
"2601","NK+T","GSM5133601",0
"2602","Plasma+B","GSM5133601",0
"2603","Secretory","GSM5133601",31
"2604","Stromal","GSM5133601",0
"2605","Airway Epithelial","GSM5133602",0
"2606","AT1","GSM5133602",0
"2607","AT2","GSM5133602",0
"2608","Basal","GSM5133602",21
"2609","Ciliated","GSM5133602",27
"2610","DC","GSM5133602",0
"2611","Endothelial","GSM5133602",2
"2612","Fibroblast","GSM5133602",1
"2613","Macrophages","GSM5133602",2
"2614","Monocytes","GSM5133602",0
"2615","NK+T","GSM5133602",0
"2616","Plasma+B","GSM5133602",1
"2617","Secretory","GSM5133602",28
"2618","Stromal","GSM5133602",1
"2619","Airway Epithelial","GSM5133603",0
"2620","AT1","GSM5133603",9
"2621","AT2","GSM5133603",9
"2622","Basal","GSM5133603",0
"2623","Ciliated","GSM5133603",8
"2624","DC","GSM5133603",0
"2625","Endothelial","GSM5133603",15
"2626","Fibroblast","GSM5133603",1
"2627","Macrophages","GSM5133603",12
"2628","Monocytes","GSM5133603",0
"2629","NK+T","GSM5133603",1
"2630","Plasma+B","GSM5133603",0
"2631","Secretory","GSM5133603",14
"2632","Stromal","GSM5133603",2
"2633","Airway Epithelial","GSM5133604",0
"2634","AT1","GSM5133604",10
"2635","AT2","GSM5133604",13
"2636","Basal","GSM5133604",0
"2637","Ciliated","GSM5133604",0
"2638","DC","GSM5133604",5
"2639","Endothelial","GSM5133604",43
"2640","Fibroblast","GSM5133604",4
"2641","Macrophages","GSM5133604",24
"2642","Monocytes","GSM5133604",3
"2643","NK+T","GSM5133604",5
"2644","Plasma+B","GSM5133604",5
"2645","Secretory","GSM5133604",10
"2646","Stromal","GSM5133604",1
"2647","Airway Epithelial","GSM5133605",0
"2648","AT1","GSM5133605",0
"2649","AT2","GSM5133605",0
"2650","Basal","GSM5133605",37
"2651","Ciliated","GSM5133605",6
"2652","DC","GSM5133605",0
"2653","Endothelial","GSM5133605",3
"2654","Fibroblast","GSM5133605",2
"2655","Macrophages","GSM5133605",0
"2656","Monocytes","GSM5133605",0
"2657","NK+T","GSM5133605",0
"2658","Plasma+B","GSM5133605",0
"2659","Secretory","GSM5133605",38
"2660","Stromal","GSM5133605",1
"2661","Airway Epithelial","GSM5133606",0
"2662","AT1","GSM5133606",0
"2663","AT2","GSM5133606",0
"2664","Basal","GSM5133606",52
"2665","Ciliated","GSM5133606",7
"2666","DC","GSM5133606",0
"2667","Endothelial","GSM5133606",3
"2668","Fibroblast","GSM5133606",6
"2669","Macrophages","GSM5133606",0
"2670","Monocytes","GSM5133606",0
"2671","NK+T","GSM5133606",0
"2672","Plasma+B","GSM5133606",0
"2673","Secretory","GSM5133606",47
"2674","Stromal","GSM5133606",2
"2675","Airway Epithelial","GSM5206782",0
"2676","AT1","GSM5206782",0
"2677","AT2","GSM5206782",0
"2678","Basal","GSM5206782",0
"2679","Ciliated","GSM5206782",0
"2680","DC","GSM5206782",0
"2681","Endothelial","GSM5206782",0
"2682","Fibroblast","GSM5206782",0
"2683","Macrophages","GSM5206782",3
"2684","Monocytes","GSM5206782",1
"2685","NK+T","GSM5206782",3
"2686","Plasma+B","GSM5206782",1
"2687","Secretory","GSM5206782",0
"2688","Stromal","GSM5206782",0
"2689","Airway Epithelial","GSM5206783",0
"2690","AT1","GSM5206783",0
"2691","AT2","GSM5206783",0
"2692","Basal","GSM5206783",0
"2693","Ciliated","GSM5206783",1
"2694","DC","GSM5206783",0
"2695","Endothelial","GSM5206783",0
"2696","Fibroblast","GSM5206783",0
"2697","Macrophages","GSM5206783",2
"2698","Monocytes","GSM5206783",3
"2699","NK+T","GSM5206783",1
"2700","Plasma+B","GSM5206783",0
"2701","Secretory","GSM5206783",0
"2702","Stromal","GSM5206783",0
"2703","Airway Epithelial","GSM5206784",0
"2704","AT1","GSM5206784",0
"2705","AT2","GSM5206784",1
"2706","Basal","GSM5206784",0
"2707","Ciliated","GSM5206784",0
"2708","DC","GSM5206784",0
"2709","Endothelial","GSM5206784",2
"2710","Fibroblast","GSM5206784",0
"2711","Macrophages","GSM5206784",3
"2712","Monocytes","GSM5206784",1
"2713","NK+T","GSM5206784",2
"2714","Plasma+B","GSM5206784",1
"2715","Secretory","GSM5206784",1
"2716","Stromal","GSM5206784",0
"2717","Airway Epithelial","GSM5226574",0
"2718","AT1","GSM5226574",10
"2719","AT2","GSM5226574",1
"2720","Basal","GSM5226574",1
"2721","Ciliated","GSM5226574",3
"2722","DC","GSM5226574",2
"2723","Endothelial","GSM5226574",5
"2724","Fibroblast","GSM5226574",6
"2725","Macrophages","GSM5226574",6
"2726","Monocytes","GSM5226574",3
"2727","NK+T","GSM5226574",17
"2728","Plasma+B","GSM5226574",1
"2729","Secretory","GSM5226574",3
"2730","Stromal","GSM5226574",1
"2731","Airway Epithelial","GSM5226575",0
"2732","AT1","GSM5226575",21
"2733","AT2","GSM5226575",5
"2734","Basal","GSM5226575",0
"2735","Ciliated","GSM5226575",0
"2736","DC","GSM5226575",1
"2737","Endothelial","GSM5226575",4
"2738","Fibroblast","GSM5226575",1
"2739","Macrophages","GSM5226575",5
"2740","Monocytes","GSM5226575",0
"2741","NK+T","GSM5226575",2
"2742","Plasma+B","GSM5226575",0
"2743","Secretory","GSM5226575",1
"2744","Stromal","GSM5226575",0
"2745","Airway Epithelial","GSM5226576",0
"2746","AT1","GSM5226576",4
"2747","AT2","GSM5226576",7
"2748","Basal","GSM5226576",1
"2749","Ciliated","GSM5226576",5
"2750","DC","GSM5226576",4
"2751","Endothelial","GSM5226576",2
"2752","Fibroblast","GSM5226576",2
"2753","Macrophages","GSM5226576",4
"2754","Monocytes","GSM5226576",3
"2755","NK+T","GSM5226576",11
"2756","Plasma+B","GSM5226576",33
"2757","Secretory","GSM5226576",6
"2758","Stromal","GSM5226576",2
"2759","Airway Epithelial","GSM5226577",0
"2760","AT1","GSM5226577",10
"2761","AT2","GSM5226577",2
"2762","Basal","GSM5226577",0
"2763","Ciliated","GSM5226577",0
"2764","DC","GSM5226577",3
"2765","Endothelial","GSM5226577",2
"2766","Fibroblast","GSM5226577",1
"2767","Macrophages","GSM5226577",2
"2768","Monocytes","GSM5226577",1
"2769","NK+T","GSM5226577",9
"2770","Plasma+B","GSM5226577",0
"2771","Secretory","GSM5226577",1
"2772","Stromal","GSM5226577",0
"2773","Airway Epithelial","GSM5226578",0
"2774","AT1","GSM5226578",7
"2775","AT2","GSM5226578",4
"2776","Basal","GSM5226578",0
"2777","Ciliated","GSM5226578",1
"2778","DC","GSM5226578",0
"2779","Endothelial","GSM5226578",6
"2780","Fibroblast","GSM5226578",3
"2781","Macrophages","GSM5226578",4
"2782","Monocytes","GSM5226578",2
"2783","NK+T","GSM5226578",6
"2784","Plasma+B","GSM5226578",3
"2785","Secretory","GSM5226578",1
"2786","Stromal","GSM5226578",2
"2787","Airway Epithelial","GSM5226579",0
"2788","AT1","GSM5226579",4
"2789","AT2","GSM5226579",0
"2790","Basal","GSM5226579",0
"2791","Ciliated","GSM5226579",0
"2792","DC","GSM5226579",2
"2793","Endothelial","GSM5226579",0
"2794","Fibroblast","GSM5226579",3
"2795","Macrophages","GSM5226579",2
"2796","Monocytes","GSM5226579",3
"2797","NK+T","GSM5226579",0
"2798","Plasma+B","GSM5226579",3
"2799","Secretory","GSM5226579",0
"2800","Stromal","GSM5226579",0
"2801","Airway Epithelial","GSM5226580",0
"2802","AT1","GSM5226580",11
"2803","AT2","GSM5226580",4
"2804","Basal","GSM5226580",0
"2805","Ciliated","GSM5226580",2
"2806","DC","GSM5226580",1
"2807","Endothelial","GSM5226580",1
"2808","Fibroblast","GSM5226580",6
"2809","Macrophages","GSM5226580",1
"2810","Monocytes","GSM5226580",0
"2811","NK+T","GSM5226580",2
"2812","Plasma+B","GSM5226580",0
"2813","Secretory","GSM5226580",6
"2814","Stromal","GSM5226580",2
"2815","Airway Epithelial","GSM5282537",0
"2816","AT1","GSM5282537",55
"2817","AT2","GSM5282537",38
"2818","Basal","GSM5282537",1
"2819","Ciliated","GSM5282537",12
"2820","DC","GSM5282537",15
"2821","Endothelial","GSM5282537",70
"2822","Fibroblast","GSM5282537",40
"2823","Macrophages","GSM5282537",10
"2824","Monocytes","GSM5282537",29
"2825","NK+T","GSM5282537",122
"2826","Plasma+B","GSM5282537",6
"2827","Secretory","GSM5282537",3
"2828","Stromal","GSM5282537",23
"2829","Airway Epithelial","GSM5282538",0
"2830","AT1","GSM5282538",0
"2831","AT2","GSM5282538",0
"2832","Basal","GSM5282538",8
"2833","Ciliated","GSM5282538",5
"2834","DC","GSM5282538",8
"2835","Endothelial","GSM5282538",12
"2836","Fibroblast","GSM5282538",2
"2837","Macrophages","GSM5282538",10
"2838","Monocytes","GSM5282538",4
"2839","NK+T","GSM5282538",17
"2840","Plasma+B","GSM5282538",8
"2841","Secretory","GSM5282538",4
"2842","Stromal","GSM5282538",1
"2843","Airway Epithelial","GSM5282539",0
"2844","AT1","GSM5282539",1
"2845","AT2","GSM5282539",3
"2846","Basal","GSM5282539",20
"2847","Ciliated","GSM5282539",6
"2848","DC","GSM5282539",7
"2849","Endothelial","GSM5282539",12
"2850","Fibroblast","GSM5282539",1
"2851","Macrophages","GSM5282539",3
"2852","Monocytes","GSM5282539",8
"2853","NK+T","GSM5282539",29
"2854","Plasma+B","GSM5282539",5
"2855","Secretory","GSM5282539",1
"2856","Stromal","GSM5282539",8
"2857","Airway Epithelial","GSM5282540",0
"2858","AT1","GSM5282540",0
"2859","AT2","GSM5282540",4
"2860","Basal","GSM5282540",3
"2861","Ciliated","GSM5282540",8
"2862","DC","GSM5282540",6
"2863","Endothelial","GSM5282540",16
"2864","Fibroblast","GSM5282540",8
"2865","Macrophages","GSM5282540",12
"2866","Monocytes","GSM5282540",1
"2867","NK+T","GSM5282540",18
"2868","Plasma+B","GSM5282540",2
"2869","Secretory","GSM5282540",1
"2870","Stromal","GSM5282540",6
"2871","Airway Epithelial","GSM5282541",0
"2872","AT1","GSM5282541",5
"2873","AT2","GSM5282541",6
"2874","Basal","GSM5282541",1
"2875","Ciliated","GSM5282541",6
"2876","DC","GSM5282541",15
"2877","Endothelial","GSM5282541",6
"2878","Fibroblast","GSM5282541",7
"2879","Macrophages","GSM5282541",1
"2880","Monocytes","GSM5282541",29
"2881","NK+T","GSM5282541",45
"2882","Plasma+B","GSM5282541",11
"2883","Secretory","GSM5282541",2
"2884","Stromal","GSM5282541",0
"2885","Airway Epithelial","GSM5282542",0
"2886","AT1","GSM5282542",1
"2887","AT2","GSM5282542",0
"2888","Basal","GSM5282542",0
"2889","Ciliated","GSM5282542",2
"2890","DC","GSM5282542",2
"2891","Endothelial","GSM5282542",7
"2892","Fibroblast","GSM5282542",2
"2893","Macrophages","GSM5282542",0
"2894","Monocytes","GSM5282542",0
"2895","NK+T","GSM5282542",24
"2896","Plasma+B","GSM5282542",4
"2897","Secretory","GSM5282542",0
"2898","Stromal","GSM5282542",0
"2899","Airway Epithelial","GSM5282543",0
"2900","AT1","GSM5282543",1
"2901","AT2","GSM5282543",1
"2902","Basal","GSM5282543",0
"2903","Ciliated","GSM5282543",0
"2904","DC","GSM5282543",0
"2905","Endothelial","GSM5282543",0
"2906","Fibroblast","GSM5282543",1
"2907","Macrophages","GSM5282543",0
"2908","Monocytes","GSM5282543",0
"2909","NK+T","GSM5282543",4
"2910","Plasma+B","GSM5282543",0
"2911","Secretory","GSM5282543",0
"2912","Stromal","GSM5282543",0
"2913","Airway Epithelial","GSM5282544",0
"2914","AT1","GSM5282544",2
"2915","AT2","GSM5282544",4
"2916","Basal","GSM5282544",0
"2917","Ciliated","GSM5282544",2
"2918","DC","GSM5282544",12
"2919","Endothelial","GSM5282544",12
"2920","Fibroblast","GSM5282544",14
"2921","Macrophages","GSM5282544",9
"2922","Monocytes","GSM5282544",13
"2923","NK+T","GSM5282544",45
"2924","Plasma+B","GSM5282544",9
"2925","Secretory","GSM5282544",0
"2926","Stromal","GSM5282544",3
"2927","Airway Epithelial","GSM5282545",0
"2928","AT1","GSM5282545",9
"2929","AT2","GSM5282545",11
"2930","Basal","GSM5282545",1
"2931","Ciliated","GSM5282545",2
"2932","DC","GSM5282545",16
"2933","Endothelial","GSM5282545",29
"2934","Fibroblast","GSM5282545",13
"2935","Macrophages","GSM5282545",23
"2936","Monocytes","GSM5282545",21
"2937","NK+T","GSM5282545",59
"2938","Plasma+B","GSM5282545",9
"2939","Secretory","GSM5282545",0
"2940","Stromal","GSM5282545",9
"2941","Airway Epithelial","GSM5282546",0
"2942","AT1","GSM5282546",1
"2943","AT2","GSM5282546",1
"2944","Basal","GSM5282546",0
"2945","Ciliated","GSM5282546",2
"2946","DC","GSM5282546",2
"2947","Endothelial","GSM5282546",4
"2948","Fibroblast","GSM5282546",4
"2949","Macrophages","GSM5282546",2
"2950","Monocytes","GSM5282546",4
"2951","NK+T","GSM5282546",26
"2952","Plasma+B","GSM5282546",3
"2953","Secretory","GSM5282546",0
"2954","Stromal","GSM5282546",0
"2955","Airway Epithelial","GSM5282547",0
"2956","AT1","GSM5282547",3
"2957","AT2","GSM5282547",3
"2958","Basal","GSM5282547",0
"2959","Ciliated","GSM5282547",2
"2960","DC","GSM5282547",7
"2961","Endothelial","GSM5282547",17
"2962","Fibroblast","GSM5282547",4
"2963","Macrophages","GSM5282547",0
"2964","Monocytes","GSM5282547",4
"2965","NK+T","GSM5282547",21
"2966","Plasma+B","GSM5282547",4
"2967","Secretory","GSM5282547",0
