"","param","celltype","counts"
"480","GSM4065876","AT1",0
"481","GSM4065877","AT1",0
"482","GSM4065878","AT1",0
"483","GSM4065879","AT1",0
"484","GSM4143262","AT1",7
"485","GSM4143263","AT1",7
"486","GSM4143656","AT1",0
"487","GSM4143658","AT1",0
"488","GSM4143660","AT1",0
"489","GSM4143662","AT1",0
"490","GSM4143664","AT1",0
"491","GSM4143666","AT1",0
"492","GSM4321402","AT1",0
"493","GSM4321403","AT1",0
"494","GSM4321404","AT1",0
"495","GSM4321405","AT1",0
"496","GSM4544005","AT1",0
"497","GSM4544006","AT1",0
"498","GSM4544007","AT1",0
"499","GSM4763859","AT1",0
"500","GSM4763860","AT1",0
"501","GSM4763861","AT1",0
"502","GSM4763862","AT1",0
"503","GSM4763863","AT1",0
"504","GSM4816089","AT1",0
"505","GSM4876617","AT1",0
"506","GSM4876620","AT1",0
"507","GSM5100998","AT1",2
"508","GSM5100999","AT1",0
"509","GSM5101000","AT1",1
"510","GSM5133588","AT1",49
"511","GSM5133589","AT1",55
"512","GSM5133590","AT1",7
"513","GSM5133591","AT1",7
"514","GSM5133592","AT1",12
"515","GSM5133593","AT1",11
"516","GSM5133594","AT1",5
"517","GSM5133595","AT1",0
"518","GSM5133596","AT1",0
"519","GSM5133597","AT1",2
"520","GSM5133598","AT1",5
"521","GSM5133599","AT1",0
"522","GSM5133600","AT1",0
"523","GSM5133601","AT1",1
"524","GSM5133602","AT1",0
"525","GSM5133603","AT1",9
"526","GSM5133604","AT1",10
"527","GSM5133605","AT1",0
"528","GSM5133606","AT1",0
"529","GSM5206782","AT1",0
"530","GSM5206783","AT1",0
"531","GSM5206784","AT1",0
"532","GSM5226574","AT1",10
"533","GSM5226575","AT1",21
"534","GSM5226576","AT1",4
"535","GSM5226577","AT1",10
"536","GSM5226578","AT1",7
"537","GSM5226579","AT1",4
"538","GSM5226580","AT1",11
"539","GSM5282537","AT1",55
"540","GSM5282538","AT1",0
"541","GSM5282539","AT1",1
"542","GSM5282540","AT1",0
"543","GSM5282541","AT1",5
"544","GSM5282542","AT1",1
"545","GSM5282543","AT1",1
"546","GSM5282544","AT1",2
"547","GSM5282545","AT1",9
"548","GSM5282546","AT1",1
"549","GSM5282547","AT1",3
"550","GSM5282548","AT1",3
"551","GSM5501481","AT1",9
"552","GSM5501482","AT1",0
"553","GSM5870246","AT1",0
"554","GSM5870247","AT1",0
"555","GSM5870248","AT1",3
"556","GSM5870249","AT1",0
"557","GSM5870251","AT1",1
"558","GSM5870252","AT1",1
"559","GSM5870253","AT1",0
"560","GSM5870254","AT1",0
"561","GSM5870255","AT1",0
"562","GSM5870257","AT1",1
"563","GSM5873135","AT1",11
"564","GSM5873136","AT1",0
"565","GSM5873137","AT1",6
"566","GSM5873138","AT1",3
"567","GSM5873139","AT1",6
"568","GSM5873140","AT1",1
"569","GSM5873141","AT1",5
"570","GSM5873142","AT1",30
"571","GSM5873143","AT1",36
"572","GSM5873144","AT1",7
"573","GSM5873145","AT1",26
"574","GSM5873146","AT1",23
"575","GSM7103257","AT1",0
"576","GSM7103264","AT1",1
"577","GSM7103271","AT1",0
"578","GSM7103275","AT1",4
"579","GSM7103276","AT1",3
"580","GSM7103277","AT1",8
"581","GSM7103278","AT1",2
"582","GSM7103279","AT1",5
"583","GSM7103280","AT1",7
"584","GSM7103281","AT1",0
"585","GSM7103282","AT1",9
"586","GSM7103283","AT1",0
"587","GSM7103295","AT1",0
"588","GSM7103296","AT1",0
"589","GSM7103297","AT1",0
"590","GSM7103298","AT1",0
"591","GSM7103305","AT1",0
"592","GSM7103306","AT1",0
"593","GSM7103307","AT1",0
"594","GSM7103308","AT1",0
"595","GSM7103313","AT1",0
"596","GSM7103314","AT1",7
"597","GSM7103315","AT1",5
"598","GSM7103316","AT1",20
"599","GSM7103317","AT1",3
"600","GSM7103318","AT1",2
"601","GSM7103319","AT1",12
"602","GSM7103320","AT1",7
"603","GSM7103327","AT1",1
"604","GSM7103334","AT1",1
"605","JVV9L8ng_LUNG","AT1",7
"606","KJYDM1ng_LUNG","AT1",5
"607","LungTranscriptome7119452_LUNG","AT1",0
"608","LungTranscriptome7119453_LUNG","AT1",0
"609","LungTranscriptome7135919_LUNG","AT1",0
"610","LungTranscriptome7135920_LUNG","AT1",0
"611","LungTranscriptome7185212_LUNG","AT1",0
"612","LungTranscriptome7185213_LUNG","AT1",0
"613","LungTranscriptome7239213_LUNG","AT1",0
"614","LungTranscriptome7239217_LUNG","AT1",0
"615","LungTranscriptome7239218_LUNG","AT1",0
"616","LungTranscriptome7239219_LUNG","AT1",0
"617","LungTranscriptome7239220_LUNG","AT1",0
"618","medial_2_LUNG","AT1",0
"619","medial_3_LUNG","AT1",0
"620","muc10380","AT1",0
"621","muc3843","AT1",0
"622","muc4658","AT1",1
"623","muc4659","AT1",0
"624","muc5103","AT1",1
"625","muc5105","AT1",0
"626","muc5212","AT1",2
"627","muc5213","AT1",0
"628","muc9832","AT1",0
"629","muc9833","AT1",1
"630","ODGS1Mng_LUNG","AT1",2
"631","P1_2_LUNG","AT1",0
"632","P1_3_LUNG","AT1",0
"633","P1_4_LUNG","AT1",0
"634","P2_1_LUNG","AT1",0
"635","P2_2_LUNG","AT1",0
"636","P2_3_LUNG","AT1",0
"637","P2_4_LUNG","AT1",0
"638","P2_5_LUNG","AT1",0
"639","P2_6_LUNG","AT1",1
"640","P2_7_LUNG","AT1",0
"641","P2_8_LUNG","AT1",1
"642","P3_2_LUNG","AT1",0
"643","P3_3_LUNG","AT1",7
"644","P3_4_LUNG","AT1",0
"645","P3_5_LUNG","AT1",0
"646","P3_6_LUNG","AT1",4
"647","P3_7_LUNG","AT1",0
"648","p46c_LUNG","AT1",0
"649","p47c_LUNG","AT1",0
"650","p50c_LUNG","AT1",0
"651","p51c_LUNG","AT1",0
"652","proximal_3_LUNG","AT1",0
"653","QZY9VQng_LUNG","AT1",6
"654","RU675_N","AT1",0
"655","RU682_N","AT1",0
"656","RU684_N","AT1",0
